,exp,model,N_train,M,hidden_size,optimizer,mse,nll,outlier,outlier_var,time,bumps
0,piece,GP,350,,nan,,0.00238342208306,-1.60806363388,,,2.897343,
0,piece,SGP,350,25.0,nan,,0.0204308368002,-0.510375743007,,,2.500038,
0,piece,SGP,350,50.0,nan,,0.0062420556225,-1.09391474462,,,3.371629,
0,piece,SGP,350,75.0,nan,,0.00400111790307,-1.3160566489,,,9.194726,
0,piece,DGP,350,25,[2],adam,0.0262985261855,-0.439749475049,True,0.0668424891097148,8.32663,
0,piece,DGP,350,25,"[3, 2]",adam,0.0225514022931,-0.696091475531,True,0.030600476991736514,15.657866,
0,piece,DGP,350,50,[2],adam,0.0257704810736,-0.542139898805,True,0.0405692648594842,49.70327,
0,piece,DGP,350,50,"[3, 2]",adam,0.0313343179109,-0.700846305883,,,95.634405,
0,piece,DGP,350,75,[2],adam,0.0264167927388,-0.571464111078,,,175.045665,
0,piece,DGP,350,75,"[3, 2]",adam,0.0121458438457,-1.03781841102,,,344.808798,
