,exp,model,N_train,M,hidden_size,optimizer,mse,nll,config,init,outlier,time
0,exp_4,DGP,75,50,[2],L-BFGS-B_Mxit1000,0.966774981614,1.40556486725,sn_1.045,long_short,True,17.780589
0,exp_3,DGP,75,50,[2],L-BFGS-B_Mxit1000,0.765948158296,1.29252892928,sn_0.953,long_short,True,19.136003
0,exp_3,DGP,100,50,[2],L-BFGS-B_Mxit1000,0.765948154448,1.28719601481,sn_0.842,long_short,True,12.250111
0,exp_4,DGP,100,50,[2],L-BFGS-B_Mxit1000,0.334910042674,0.719061777402,sn_0.215,long_short,,102.569154
0,exp_3,DGP,250,50,[2],L-BFGS-B_Mxit1000,0.76594817365,1.28561971346,sn_0.876,long_short,True,20.794241
0,exp_4,DGP,250,50,[2],L-BFGS-B_Mxit1000,0.142213288116,0.270395413601,sn_0.214,long_short,,97.17397
0,exp_4,DGP,500,50,[2],L-BFGS-B_Mxit1000,0.153937401284,0.0685231811986,sn_0.198,long_short,,169.705007
0,exp_3,DGP,500,50,[2],L-BFGS-B_Mxit1000,0.142785693251,-0.164842926619,sn_0.14,long_short,,371.797496
0,exp_4,DGP,750,50,[2],L-BFGS-B_Mxit1000,0.102440770408,-0.230232265006,sn_0.113,long_short,True,502.006185
0,exp_3,DGP,750,50,[2],L-BFGS-B_Mxit1000,0.0360009626231,-0.237280952632,sn_0.158,long_short,,306.745379
0,exp_4,DGP,1000,50,[2],L-BFGS-B_Mxit1000,0.0945590308893,-0.287548232209,sn_0.135,long_short,,347.780744
0,exp_3,DGP,1000,50,[2],L-BFGS-B_Mxit1000,0.0567196903264,-0.166735907152,sn_0.17,long_short,,353.82354
0,exp_4,DGP,1250,50,[2],L-BFGS-B_Mxit1000,0.10195830866,-0.182830626122,sn_0.17,long_short,True,499.805946
