,exp,model,N_train,M,hidden_size,optimizer,mse,nll,config,init,outlier,time
0,exp_4,SGP,75,40,nan,,0.436442572868,0.817982046751,,long_short,,3.294748
0,exp_3,SGP,75,40,nan,,0.446570200845,0.97833295179,,long_short,,3.410611
0,exp_3,DGP,75,40,[],L-BFGS-B_Mxit1000,0.765948234225,1.29245987876,sn_0.953,long_short,True,1.224118
0,exp_3,SGP,100,40,nan,,0.248729917584,0.745037270467,,long_short,,3.399349
0,exp_3,DGP,100,40,[],L-BFGS-B_Mxit1000,0.765948147857,1.28563828317,sn_0.871,long_short,,0.958457
0,exp_3,SGP,250,40,nan,,0.190674789849,0.548069095769,,long_short,,2.226317
0,exp_4,DGP,75,40,[],L-BFGS-B_Mxit1000,0.385038739571,0.708397336147,sn_0.241,long_short,,13.403232
0,exp_4,SGP,100,40,nan,,0.305504694989,0.764008048835,,long_short,,3.301478
0,exp_3,DGP,250,40,[],L-BFGS-B_Mxit1000,0.296469492454,0.515479052168,sn_0.193,long_short,,17.823429
0,exp_3,SGP,500,40,nan,,0.102435522661,0.293721857409,,long_short,,4.467435
0,exp_4,DGP,100,40,[],L-BFGS-B_Mxit1000,0.299147457746,0.577762003535,sn_0.211,long_short,True,14.523452
0,exp_4,SGP,250,40,nan,,0.14551385699,0.462976395935,,long_short,,3.13437
0,exp_3,SGP,75,50,nan,,0.364283503187,0.712631799803,,long_short,,4.182077
0,exp_4,SGP,75,50,nan,,0.397821825766,0.628184585332,,long_short,,6.838493
0,exp_3,DGP,75,50,[],L-BFGS-B_Mxit1000,0.765948165845,1.29243329549,sn_0.953,long_short,True,1.828312
0,exp_3,SGP,100,50,nan,,0.264032885607,0.686879999085,,long_short,,4.014797
0,exp_3,DGP,100,50,[],L-BFGS-B_Mxit1000,0.765948163451,1.28588459735,sn_0.861,long_short,,1.505762
0,exp_3,SGP,250,50,nan,,0.165664776333,0.434406948434,,long_short,,6.197317
0,exp_3,DGP,250,50,[],L-BFGS-B_Mxit1000,0.765948087537,1.28568015532,sn_0.868,long_short,True,3.057641
0,exp_3,SGP,500,50,nan,,0.0438063835702,-0.054508563622,,long_short,,5.461981
0,exp_4,DGP,250,40,[],L-BFGS-B_Mxit1000,0.305008036259,0.245658379404,sn_0.16,long_short,,19.884103
0,exp_4,SGP,500,40,nan,,0.0596361118792,0.241194794778,,long_short,,3.405312
0,exp_3,DGP,500,40,[],L-BFGS-B_Mxit1000,0.173279068173,0.268883449173,sn_0.228,long_short,,28.529749
0,exp_3,SGP,750,40,nan,,0.0610386420829,0.133305470477,,long_short,,5.282368
0,exp_4,DGP,75,50,[],L-BFGS-B_Mxit1000,0.332333776437,0.518765730573,sn_0.183,long_short,True,26.426503
0,exp_4,SGP,100,50,nan,,0.326793484201,0.705904893559,,long_short,,3.698401
0,exp_4,DGP,500,40,[],L-BFGS-B_Mxit1000,0.263092910635,0.433705204893,sn_0.311,long_short,True,21.135319
0,exp_4,SGP,750,40,nan,,0.0852272174332,0.263834803738,,long_short,,7.670893
0,exp_3,DGP,750,40,[],L-BFGS-B_Mxit1000,0.134604993255,0.13224012826,sn_0.215,long_short,,36.497462
0,exp_3,SGP,1000,40,nan,,0.0472945614025,0.0305961596787,,long_short,,7.922272
0,exp_4,DGP,100,50,[],L-BFGS-B_Mxit1000,0.327419828404,0.57452797906,sn_0.138,long_short,True,32.341123
0,exp_3,DGP,500,50,[],L-BFGS-B_Mxit1000,0.0854243499418,-0.0838115571898,sn_0.157,long_short,,51.779384
0,exp_4,SGP,250,50,nan,,0.154441170568,0.375597878661,,long_short,,8.027964
0,exp_3,SGP,750,50,nan,,0.0316829067356,-0.278689574709,,long_short,,5.468406
0,exp_4,DGP,750,40,[],L-BFGS-B_Mxit1000,0.274830825079,0.313871986659,sn_0.247,long_short,,36.266597
0,exp_4,SGP,1000,40,nan,,0.0852867833421,0.219075025357,,long_short,,7.026993
0,exp_3,DGP,1000,40,[],L-BFGS-B_Mxit1000,0.19460488182,0.475353576643,sn_0.325,long_short,True,22.025722
0,exp_3,SGP,1250,40,nan,,0.0431186743576,-0.075796509637,,long_short,,8.949261
0,exp_4,DGP,250,50,[],L-BFGS-B_Mxit1000,0.282705360292,0.204962601262,sn_0.122,long_short,,37.867902
0,exp_4,SGP,500,50,nan,,0.0797134571805,0.300302421794,,long_short,,5.975527
0,exp_4,DGP,1000,40,[],L-BFGS-B_Mxit1000,0.274749113099,0.462017386877,sn_0.274,long_short,True,37.890224
0,exp_4,SGP,1250,40,nan,,0.0490490047985,0.0638096023383,,long_short,,10.464719
0,exp_3,DGP,750,50,[],L-BFGS-B_Mxit1000,0.0714802103109,-0.158477275375,sn_0.153,long_short,,60.851239
0,exp_3,SGP,1000,50,nan,,0.0115681847589,-0.420148397738,,long_short,,8.066165
0,exp_3,DGP,1250,40,[],L-BFGS-B_Mxit1000,0.0813570036996,0.0942033802313,sn_0.226,long_short,True,52.217359
0,exp_4,DGP,500,50,[],L-BFGS-B_Mxit1000,0.0676573889725,0.100545991576,sn_0.211,long_short,,46.304233
0,exp_4,SGP,750,50,nan,,0.0537060733688,0.0345414905452,,long_short,,5.397471
0,exp_4,DGP,1250,40,[],L-BFGS-B_Mxit1000,0.0633084366898,0.0128221594366,sn_0.211,long_short,,44.375516
0,exp_3,DGP,1000,50,[],L-BFGS-B_Mxit1000,0.0834533602229,-0.149905650147,sn_0.153,long_short,,61.449759
0,exp_3,SGP,1250,50,nan,,0.038466733008,-0.195177954709,,long_short,,8.287355
0,exp_4,DGP,750,50,[],L-BFGS-B_Mxit1000,0.14353682915,0.133093780074,sn_0.214,long_short,True,51.761732
0,exp_4,SGP,1000,50,nan,,0.0481313091249,-0.082357847808,,long_short,,6.107321
0,exp_4,DGP,1000,50,[],L-BFGS-B_Mxit1000,0.171447377256,-0.0580871544525,sn_0.168,long_short,True,57.300502
0,exp_3,DGP,1250,50,[],L-BFGS-B_Mxit1000,0.221818864518,0.101308114027,sn_0.197,long_short,,70.928313
0,exp_4,SGP,1250,50,nan,,0.0562866762381,0.0801616066493,,long_short,,7.807121
0,exp_4,DGP,1250,50,[],L-BFGS-B_Mxit1000,0.127549615548,0.0428086182538,sn_0.199,long_short,True,75.837754
