,exp,model,N_train,M,hidden_size,optimizer,mse,nll,config,init,outlier,time
0,exp_4,DGP,75,40,[2],L-BFGS-B_Mxit1000,0.966774511261,1.40554526029,sn_1.044,short_long,,3.769812
0,exp_4,DGP,100,40,[2],L-BFGS-B_Mxit1000,0.96677393613,1.40216740231,sn_0.994,short_long,True,3.344145
0,exp_3,DGP,75,40,[2],L-BFGS-B_Mxit1000,0.76594817177,1.29287000251,sn_0.955,short_long,True,4.549764
0,exp_3,DGP,100,40,[2],L-BFGS-B_Mxit1000,0.765948164297,1.2871762471,sn_0.842,short_long,True,5.953227
0,exp_3,DGP,250,40,[2],L-BFGS-B_Mxit1000,0.765948163358,1.28562102209,sn_0.877,short_long,True,4.846224
0,exp_4,DGP,250,40,[2],L-BFGS-B_Mxit1000,0.966773859029,1.41678960208,sn_1.116,short_long,True,5.077919
0,exp_4,DGP,500,40,[2],L-BFGS-B_Mxit1000,0.966771854201,1.40876862833,sn_1.07,short_long,True,6.546736
0,exp_3,DGP,500,40,[2],L-BFGS-B_Mxit1000,0.765948304597,1.28881573379,sn_0.927,short_long,True,6.351808
0,exp_4,DGP,750,40,[2],L-BFGS-B_Mxit1000,0.9617970714,1.4070333762,sn_1.072,short_long,,10.128101
0,exp_3,DGP,750,40,[2],L-BFGS-B_Mxit1000,0.109456477016,0.0661459836303,sn_0.203,short_long,,130.215599
0,exp_4,DGP,1000,40,[2],L-BFGS-B_Mxit1000,0.158694164197,0.0454137996831,sn_0.203,short_long,True,138.635117
0,exp_3,DGP,1000,40,[2],L-BFGS-B_Mxit1000,0.0479603199387,-0.324454419836,sn_0.146,short_long,,282.759529
0,exp_4,DGP,1250,40,[2],L-BFGS-B_Mxit1000,0.0934855230013,0.21093762033,sn_0.271,short_long,,181.381105
0,exp_3,DGP,1250,40,[2],L-BFGS-B_Mxit1000,0.105092036735,-0.317435155945,sn_0.134,short_long,,264.77777
