,exp,model,N_train,M,hidden_size,optimizer,mse,nll,config,init,outlier,time
0,,GP,250,,nan,,0.00645656708562,-1.12373565434,,default,,0.507461
0,,GP,500,,nan,,0.00461936396764,-1.26647627369,,default,,2.155835
0,,SGP,250,50,nan,,0.0910472469919,0.286180294513,,default,,1.753741
0,,GP,750,,nan,,0.00423735557309,-1.30111223257,,default,,4.753492
0,,SGP,500,50,nan,,0.0452844060401,0.00625963110597,,default,,2.052745
0,,GP,1000,,nan,,0.00415264320304,-1.32020818953,,default,,8.406907
0,,SGP,750,50,nan,,0.0486576712229,-0.0508719237986,,default,,3.650212
0,,SGP,1000,50,nan,,0.013020256277,-0.357364600037,,default,,5.068767
0,,GP,1250,,nan,,0.00398286184777,-1.34081923206,,default,,16.7497
0,,SGP,1250,50,nan,,0.0103457813781,-0.47124338856,,default,,4.15197
0,,GP,250,,nan,,0.00622736767227,-1.11314178427,,default,,0.624151
0,,GP,500,,nan,,0.00491916094545,-1.24447403902,,default,,1.378255
0,,SGP,250,40,nan,,0.105393998177,0.405754755165,,default,,1.346274
0,,GP,750,,nan,,0.00420137241918,-1.31316109638,,default,,3.558855
0,,SGP,500,40,nan,,0.0523181112446,0.162146967706,,default,,2.26556
0,,SGP,750,40,nan,,0.0321463628397,-0.0148148828931,,default,,2.559678
0,,GP,1000,,nan,,0.00405899196813,-1.33595191823,,default,,9.318023
0,,SGP,1000,40,nan,,0.0384010046325,-0.0141124378218,,default,,3.786314
0,,GP,1250,,nan,,0.00391544436103,-1.35052359557,,default,,18.777943
0,,SGP,1250,40,nan,,0.0199500007102,-0.22961530213,,default,,4.130993
0,,GP,250,,nan,,0.00810589595976,-0.997091536198,,default,,0.510255
0,,SGP,250,30,nan,,0.236494717982,0.723839564287,,default,,1.35592
0,,GP,500,,nan,,0.00487233232043,-1.24808443527,,default,,1.653854
0,,SGP,500,30,nan,,0.134953590497,0.488542250493,,default,,1.524113
0,,GP,750,,nan,,0.00426765401622,-1.304732601,,default,,4.822271
0,,SGP,750,30,nan,,0.0909484745738,0.325963880328,,default,,1.638805
0,,GP,1000,,nan,,0.00399981621607,-1.34046937535,,default,,20.026444
0,,SGP,1000,30,nan,,0.117344604916,0.403454979502,,default,,2.136738
0,,GP,1250,,nan,,0.00400656828905,-1.33380414295,,default,,18.535963
0,,SGP,1250,30,nan,,0.110023343294,0.376265639425,,default,,2.834296
0,,GP,250,,nan,,0.00774071978558,-1.09699534203,,default,,0.60773
0,,SGP,250,25,nan,,0.292002631199,0.809776668924,,default,,0.652958
0,,GP,500,,nan,,0.00447563625449,-1.28497382439,,default,,1.983914
0,,SGP,500,25,nan,,0.187229421254,0.628401901081,,default,,1.31271
0,,GP,750,,nan,,0.00410081276582,-1.32053228351,,default,,4.522635
0,,SGP,750,25,nan,,0.156927781308,0.577177060829,,default,,1.36888
0,,GP,1000,,nan,,0.00400488420621,-1.3400220492,,default,,8.879626
0,,SGP,1000,25,nan,,0.141695816174,0.502448231227,,default,,1.673344
0,,GP,1250,,nan,,0.00397059152854,-1.34288265061,,default,,15.38047
0,,SGP,1250,25,nan,,0.126090769534,0.443233303941,,default,,2.040561
0,,GP,250,,nan,,0.00882831227189,-1.05360395224,,default,,0.671093
0,,GP,500,,nan,,0.00480699812623,-1.2457572178,,default,,2.117538
0,,SGP,250,60,nan,,0.0723062149046,0.0341194056442,,default,,1.437058
0,,GP,750,,nan,,0.00423281833175,-1.30550974839,,default,,4.670835
0,,SGP,500,60,nan,,0.0170601221861,-0.341156067476,,default,,2.516432
0,,SGP,750,60,nan,,0.00961392726695,-0.532204750944,,default,,2.716838
0,,GP,1000,,nan,,0.00409180543245,-1.32814331844,,default,,10.305714
0,,SGP,1000,60,nan,,0.0106510649064,-0.614284970943,,default,,4.572243
0,,GP,1250,,nan,,0.00398577618252,-1.34226562773,,default,,16.351692
0,,SGP,1250,60,nan,,0.0158538855435,-0.432179556915,,default,,4.879582
