,exp,model,N_train,M,hidden_size,optimizer,mse,nll,config,init,outlier,time
0,,DGP,500,50,[2],adam_Mxit1500,0.115147456521,0.298792129417,0.297,True,,303.570272
0,,DGP,250,50,[2],adam_Mxit1500,0.20880620543,0.577049728368,0.367,True,,303.929649
0,,DGP,750,50,[2],adam_Mxit1500,0.197817136523,0.576801342648,0.415,True,,303.834159
0,,DGP,1000,50,[2],adam_Mxit1500,0.228627583503,0.60218819524,0.409,True,,304.096413
0,,DGP,1250,50,[2],adam_Mxit1500,0.183782906518,0.509292741535,0.383,True,,304.277263
0,,DGP,500,40,[2],adam_Mxit1500,0.20400270069,0.53065363017,0.371,True,,162.543684
0,,DGP,250,40,[2],adam_Mxit1500,0.252651218205,0.629209247052,0.39,True,,162.479843
0,,DGP,1250,40,[2],adam_Mxit1500,0.247078760183,0.706838199756,0.467,True,,162.817814
0,,DGP,1000,40,[2],adam_Mxit1500,0.183147541214,0.512625764555,0.368,True,,163.306362
0,,DGP,750,40,[2],adam_Mxit1500,0.163089841172,0.492710502149,0.36,True,,163.647524
0,,DGP,250,30,[2],adam_Mxit1500,0.224464248262,0.582131830102,0.367,True,,74.920634
0,,DGP,500,30,[2],adam_Mxit1500,0.247098538705,0.640973199941,0.403,True,,75.362534
0,,DGP,1000,30,[2],adam_Mxit1500,0.245865758977,0.643129194748,0.431,True,,75.622999
0,,DGP,1250,30,[2],adam_Mxit1500,0.19413248128,0.537606563822,0.394,True,,75.389468
0,,DGP,750,30,[2],adam_Mxit1500,0.179401706854,0.526239951686,0.377,True,,75.739679
0,,DGP,250,25,[2],adam_Mxit1500,0.231605235642,0.603923114709,0.392,True,,51.033024
0,,DGP,1000,25,[2],adam_Mxit1500,0.160660534872,0.44722349108,0.353,True,,51.302602
0,,DGP,1250,25,[2],adam_Mxit1500,0.133188010164,0.359515789,0.33,True,,51.369968
0,,DGP,500,25,[2],adam_Mxit1500,0.262925707789,0.70395928432,0.449,True,,51.9873
0,,DGP,750,25,[2],adam_Mxit1500,0.194751214486,0.573584688662,0.416,True,,52.161288
0,,DGP,500,60,[2],adam_Mxit1500,0.390884174998,0.935910731786,0.587,True,,514.108609
0,,DGP,250,60,[2],adam_Mxit1500,0.392216990082,0.879827986701,0.519,True,,514.352312
0,,DGP,1000,60,[2],adam_Mxit1500,0.153180472575,0.458632189848,0.359,True,,514.414374
0,,DGP,1250,60,[2],adam_Mxit1500,0.117755527774,0.298816216151,0.301,True,,514.309921
0,,DGP,750,60,[2],adam_Mxit1500,0.135107529257,0.245067694675,0.275,True,,514.633593
