,exp,model,N_train,M,hidden_size,optimizer,mse,nll,config,init,outlier,time
0,,GP,100,,nan,,0.0226695950242,-0.539629505266,,default,,0.23469
0,,GP,250,,nan,,0.0131380349449,-0.74426187383,,default,,0.474589
0,,GP,50,,nan,,0.0739838947634,-0.260616810686,,default,,0.236148
0,,GP,500,,nan,,0.0111113487486,-0.828520237496,,default,,1.754904
0,,SGP,500,25,nan,,0.0143801790758,-0.696706196589,,default,,1.367035
0,,GP,750,,nan,,0.0110692167915,-0.832648382871,,default,,5.375634
0,,SGP,750,25,nan,,0.0224881155774,-0.666450871824,,default,,1.13011
0,,GP,1000,,nan,,0.0106321851702,-0.852461433476,,default,,10.581847
0,,SGP,250,25,nan,,0.0564479251826,-0.393840042085,,default,,6.775583
0,,SGP,50,25,nan,,0.105759325185,3.56660400059,,default,,6.543145
0,,SGP,1000,25,nan,,0.0117156488371,-0.74393363992,,default,,1.904859
0,,SGP,100,25,nan,,0.113832893894,0.172216543022,,default,,8.028898
0,,GP,1250,,nan,,0.0106863206181,-0.850486963894,,default,,17.390881
0,,SGP,1250,25,nan,,0.0243936768224,-0.677838570878,,default,,1.564721
0,,GP,750,,nan,,0.0109434196623,-0.83851637659,,default,,5.366877
0,,SGP,750,25,nan,,0.0237931428938,-0.673642649475,,default,,1.621844
0,,GP,100,,nan,,0.0171528566396,-0.619749616613,,default,,0.249143
0,,SGP,100,25,nan,,0.0753777203898,36.8669872854,,default,,4.970627
0,,GP,100,,nan,,0.0210980347917,-0.490991255225,,default,,0.250019
0,,SGP,100,25,nan,,0.104122655577,2.24089680297,,default,,9.235133
0,,GP,100,,nan,,0.0352500844658,-0.477769567526,,default,,0.249853
0,,GP,50,,nan,,0.023838136203,-0.433946311785,,default,,0.211212
0,,GP,250,,nan,,0.013413681574,-0.737075916958,,default,,0.538718
0,,GP,500,,nan,,0.0111584661846,-0.827864237052,,default,,1.757182
0,,SGP,250,25,nan,,0.0184422145594,-0.467328569675,,default,,2.669737
0,,GP,750,,nan,,0.0107576998864,-0.84566759776,,default,,6.654123
0,,SGP,750,25,nan,,0.0126310256954,-0.71307438018,,default,,1.159132
0,,SGP,500,25,nan,,0.053192860506,-0.553408232796,,default,,5.70884
0,,GP,1000,,nan,,0.0107755028377,-0.846226130274,,default,,10.969792
0,,SGP,50,25,nan,,0.0756079354584,6.02113187224,,default,,8.225654
0,,SGP,100,25,nan,,0.0674829726643,1.23531278004,,default,,8.561316
0,,SGP,1000,25,nan,,0.0832398538443,-0.479592899353,,default,,2.265937
0,,GP,1250,,nan,,0.0106658906099,-0.851269449046,,default,,19.644906
0,,SGP,1250,25,nan,,0.0252431716519,-0.60243275332,,default,,21.881314
0,,GP,100,,nan,,0.0156064464351,-0.691809417046,,default,,0.258794
0,,GP,50,,nan,,0.0274682562526,-0.353192543382,,default,,0.194481
0,,GP,250,,nan,,0.0126649198678,-0.766845477194,,default,,0.603915
0,,GP,500,,nan,,0.0116307793548,-0.807145963581,,default,,1.93772
0,,GP,750,,nan,,0.011214166471,-0.826230391593,,default,,5.342554
0,,SGP,50,35,nan,,0.0777153862135,-0.00713812551753,,default,,8.96674
0,,SGP,100,35,nan,,0.0229728746211,-0.215534688147,,default,,9.26437
0,,SGP,750,35,nan,,0.011541088073,-0.750793008657,,default,,6.691283
0,,SGP,250,35,nan,,0.0165505708076,-0.544831934091,,default,,11.126481
0,,GP,1000,,nan,,0.0109577407622,-0.838053380827,,default,,12.734055
0,,SGP,500,35,nan,,0.0126657539748,-0.653642684182,,default,,13.414369
0,,GP,1250,,nan,,0.0107888040064,-0.845589453008,,default,,19.475324
0,,SGP,1000,35,nan,,0.0117944148547,-0.791072675327,,default,,13.143292
0,,SGP,1250,35,nan,,0.0110236374954,-0.811189716112,,default,,10.712391
0,,GP,50,,nan,,0.0303646210855,-0.290830858791,,default,,0.235976
0,,GP,100,,nan,,0.0165990152493,-0.63716151315,,default,,0.23934
0,,GP,250,,nan,,0.0118875617609,-0.799347337091,,default,,0.438983
0,,GP,500,,nan,,0.0112353188636,-0.823093388336,,default,,2.166874
0,,GP,750,,nan,,0.0108589080891,-0.842307650466,,default,,6.30994
0,,SGP,50,50,nan,,0.0517478578692,-0.181200836114,,default,,9.622764
0,,GP,1000,,nan,,0.0107299841552,-0.848073462323,,default,,11.034309
0,,SGP,100,50,nan,,0.0219871523804,-0.104817877722,,default,,10.352062
0,,SGP,250,50,nan,,0.013405325709,-0.727069724408,,default,,13.511366
0,,SGP,500,50,nan,,0.0119029822747,-0.791342971911,,default,,16.913166
0,,GP,1250,,nan,,0.0108320198988,-0.84347007738,,default,,19.810491
0,,SGP,750,50,nan,,0.0108605374141,-0.811288525108,,default,,21.798188
0,,SGP,1000,50,nan,,0.0108270406889,-0.827224871772,,default,,29.232629
0,,SGP,1250,50,nan,,0.0110717221064,-0.826042000804,,default,,34.839358
