,exp,model,N_train,M,hidden_size,optimizer,mse,nll,config,init,outlier,time
0,,DGP,50,25,[2],adam_Mxit1500,0.0380367724247,-0.381597527561,0.099,True,,28.550469
0,,DGP,100,25,[2],adam_Mxit1500,0.0181624928789,-0.614483695633,0.099,True,,33.779871
0,,DGP,1000,25,[2],adam_Mxit1500,0.0116328301546,-0.759786755551,0.11,True,,50.099771
0,,DGP,250,25,[2],adam_Mxit1500,0.0115928072076,-0.784616927407,0.104,True,,49.627541
0,,DGP,500,25,[2],adam_Mxit1500,0.0113345853935,-0.772019725921,0.108,True,,50.675898
0,,DGP,1250,25,[2],adam_Mxit1500,0.010817117081,-0.790828753558,0.109,True,,50.222106
0,,DGP,750,25,[2],adam_Mxit1500,0.0117384848156,-0.769290770328,0.106,True,,52.658258
0,,DGP,50,35,[2],adam_Mxit1500,0.0282284980793,-0.43860189691,0.115,True,,71.021515
0,,DGP,100,35,[2],adam_Mxit1500,0.0176296577711,-0.580219337704,0.11,True,,80.581766
0,,DGP,250,35,[2],adam_Mxit1500,0.0128254583206,-0.729643363596,0.107,True,,113.958846
0,,DGP,500,35,[2],adam_Mxit1500,0.0112853827711,-0.787262818135,0.104,True,,114.344315
0,,DGP,1000,35,[2],adam_Mxit1500,0.0120021376661,-0.776279510732,0.107,True,,115.254284
0,,DGP,1250,35,[2],adam_Mxit1500,0.0102963109388,-0.827910952773,0.103,True,,115.690083
0,,DGP,750,35,[2],adam_Mxit1500,0.0110641173364,-0.812092113734,0.102,True,,115.468891
0,,DGP,50,50,[2],adam_Mxit1500,0.044645265059,-0.228027648554,0.146,True,,281.941933
0,,DGP,100,50,[2],adam_Mxit1500,0.0148650321768,-0.664021372794,0.106,True,,304.508013
0,,DGP,250,50,[2],adam_Mxit1500,0.0110105295252,-0.797026171797,0.103,True,,377.51109
0,,DGP,1000,50,[2],adam_Mxit1500,0.0114648575893,-0.775941961256,0.11,True,,377.403414
0,,DGP,750,50,[2],adam_Mxit1500,0.0105825851161,-0.822140480007,0.104,True,,377.83848
0,,DGP,1250,50,[2],adam_Mxit1500,0.0107372332312,-0.813924882729,0.108,True,,377.874515
0,,DGP,500,50,[2],adam_Mxit1500,0.0113639889759,-0.773969579925,0.113,True,,378.150117
