,exp,model,N_train,M,hidden_size,optimizer,mse,nll,config,init,outlier,time
0,exp_4,GP,75,,nan,,0.342720819954,0.320631393855,,,,0.657125
0,exp_4,SGP,75,30,nan,,0.506317457451,1.03825840513,,,,1.538561
0,exp_3,GP,75,,nan,,0.202031887862,0.329520581029,,,,0.753182
0,exp_3,SGP,75,30,nan,,0.535331702527,1.19768663162,,,,2.64233
0,exp_4,DGP,75,30,[],L-BFGS-B_Mxit1000,0.481012843212,0.949895352634,sn_0.381,default,True,4.801803
0,exp_4,GP,100,,nan,,0.180070755134,73.2089885255,,,,1.262409
0,exp_4,SGP,100,30,nan,,0.362862540437,0.900422872857,,,,3.911961
0,exp_3,DGP,75,30,[],L-BFGS-B_Mxit1000,0.563584405577,1.41956100551,sn_0.249,default,True,6.007268
0,exp_3,GP,100,,nan,,0.080269954467,0.341702036083,,,,1.002705
0,exp_3,SGP,100,30,nan,,0.289711790769,0.83967488368,,,,1.675078
0,exp_4,DGP,100,30,[],L-BFGS-B_Mxit1000,0.365146843633,0.743030665621,sn_0.319,default,True,5.928121
0,exp_4,GP,250,,nan,,0.966774981614,1.4037673847,,,,1.282489
0,exp_4,SGP,250,30,nan,,0.30707732736,0.812042849112,,,,1.721961
0,exp_3,DGP,100,30,[],L-BFGS-B_Mxit1000,0.318106116462,0.754575983629,sn_0.405,default,,6.363876
0,exp_3,GP,250,,nan,,0.765948171762,1.28601995469,,,,0.839455
0,exp_3,SGP,250,30,nan,,0.280451434175,0.762579959972,,,,1.639138
0,exp_4,DGP,250,30,[],L-BFGS-B_Mxit1000,0.365557871501,0.539049589519,sn_0.278,default,,6.298202
0,exp_4,GP,500,,nan,,0.00602647513573,-1.28592653608,,,,3.220207
0,exp_4,SGP,500,30,nan,,0.289546927962,0.800936219406,,,,2.0297
0,exp_3,DGP,250,30,[],L-BFGS-B_Mxit1000,0.246309179479,0.63905509722,sn_0.328,default,,7.771358
0,exp_3,GP,500,,nan,,0.00555779788978,-1.18186942345,,,,3.017413
0,exp_3,SGP,500,30,nan,,0.121085949341,0.435082892495,,,,3.069574
0,exp_4,DGP,500,30,[],L-BFGS-B_Mxit1000,0.281525870207,0.500824957778,sn_0.33,default,True,11.846405
0,exp_3,DGP,500,30,[],L-BFGS-B_Mxit1000,0.33966624614,0.546752608115,sn_0.317,default,True,10.263572
0,exp_4,GP,750,,nan,,0.00375650547717,-1.32994735377,,,,9.249725
0,exp_4,SGP,750,30,nan,,0.106893444324,0.410308185654,,,,6.108096
0,exp_3,GP,750,,nan,,0.00542314676363,-1.14366655761,,,,7.235242
0,exp_3,SGP,750,30,nan,,0.128994655016,0.435223681277,,,,2.956778
0,exp_4,DGP,750,30,[],L-BFGS-B_Mxit1000,0.294353638305,0.541810712896,sn_0.337,default,,16.433072
0,exp_3,DGP,750,30,[],L-BFGS-B_Mxit1000,0.149112804777,0.398482031193,sn_0.322,default,,16.767953
0,exp_4,GP,1000,,nan,,0.00384940997111,-1.42425265782,,,,16.631158
0,exp_4,SGP,1000,30,nan,,0.0912199232699,0.308452766885,,,,8.676084
0,exp_3,GP,1000,,nan,,0.765948171762,1.28607886577,,,,21.278508
0,exp_3,SGP,1000,30,nan,,0.12246892735,0.389214372236,,,,3.245997
0,exp_3,DGP,1000,30,[],L-BFGS-B_Mxit1000,0.144281415793,0.375365940455,sn_0.298,default,,14.407277
0,exp_4,DGP,1000,30,[],L-BFGS-B_Mxit1000,0.341574623581,0.471396410495,sn_0.293,default,,16.925012
0,exp_4,GP,1250,,nan,,0.966774981614,1.40636747091,,,,23.777725
0,exp_4,SGP,1250,30,nan,,0.277344165755,0.784171358775,,,,3.632463
0,exp_3,GP,1250,,nan,,0.765948171762,1.2862265345,,,,44.637626
0,exp_3,SGP,1250,30,nan,,0.0947414573351,0.299113259884,,,,4.11877
0,exp_3,DGP,1250,30,[],L-BFGS-B_Mxit1000,0.127692465499,0.313273557929,sn_0.293,default,,23.584994
0,exp_4,SGP,75,40,nan,,0.436442572868,0.817982046751,,long_short,,3.294748
0,exp_3,SGP,75,40,nan,,0.446570200845,0.97833295179,,long_short,,3.410611
0,exp_3,DGP,75,40,[],L-BFGS-B_Mxit1000,0.765948234225,1.29245987876,sn_0.953,long_short,True,1.224118
0,exp_3,SGP,100,40,nan,,0.248729917584,0.745037270467,,long_short,,3.399349
0,exp_3,DGP,100,40,[],L-BFGS-B_Mxit1000,0.765948147857,1.28563828317,sn_0.871,long_short,,0.958457
0,exp_3,SGP,250,40,nan,,0.190674789849,0.548069095769,,long_short,,2.226317
0,exp_4,DGP,75,40,[],L-BFGS-B_Mxit1000,0.385038739571,0.708397336147,sn_0.241,long_short,,13.403232
0,exp_4,SGP,100,40,nan,,0.305504694989,0.764008048835,,long_short,,3.301478
0,exp_3,DGP,250,40,[],L-BFGS-B_Mxit1000,0.296469492454,0.515479052168,sn_0.193,long_short,,17.823429
0,exp_3,SGP,500,40,nan,,0.102435522661,0.293721857409,,long_short,,4.467435
0,exp_4,DGP,100,40,[],L-BFGS-B_Mxit1000,0.299147457746,0.577762003535,sn_0.211,long_short,True,14.523452
0,exp_4,SGP,250,40,nan,,0.14551385699,0.462976395935,,long_short,,3.13437
0,exp_3,SGP,75,50,nan,,0.364283503187,0.712631799803,,long_short,,4.182077
0,exp_4,SGP,75,50,nan,,0.397821825766,0.628184585332,,long_short,,6.838493
0,exp_3,DGP,75,50,[],L-BFGS-B_Mxit1000,0.765948165845,1.29243329549,sn_0.953,long_short,True,1.828312
0,exp_3,SGP,100,50,nan,,0.264032885607,0.686879999085,,long_short,,4.014797
0,exp_3,DGP,100,50,[],L-BFGS-B_Mxit1000,0.765948163451,1.28588459735,sn_0.861,long_short,,1.505762
0,exp_3,SGP,250,50,nan,,0.165664776333,0.434406948434,,long_short,,6.197317
0,exp_3,DGP,250,50,[],L-BFGS-B_Mxit1000,0.765948087537,1.28568015532,sn_0.868,long_short,True,3.057641
0,exp_3,SGP,500,50,nan,,0.0438063835702,-0.054508563622,,long_short,,5.461981
0,exp_4,DGP,250,40,[],L-BFGS-B_Mxit1000,0.305008036259,0.245658379404,sn_0.16,long_short,,19.884103
0,exp_4,SGP,500,40,nan,,0.0596361118792,0.241194794778,,long_short,,3.405312
0,exp_3,DGP,500,40,[],L-BFGS-B_Mxit1000,0.173279068173,0.268883449173,sn_0.228,long_short,,28.529749
0,exp_3,SGP,750,40,nan,,0.0610386420829,0.133305470477,,long_short,,5.282368
0,exp_4,DGP,75,50,[],L-BFGS-B_Mxit1000,0.332333776437,0.518765730573,sn_0.183,long_short,True,26.426503
0,exp_4,SGP,100,50,nan,,0.326793484201,0.705904893559,,long_short,,3.698401
0,exp_4,DGP,500,40,[],L-BFGS-B_Mxit1000,0.263092910635,0.433705204893,sn_0.311,long_short,True,21.135319
0,exp_4,SGP,750,40,nan,,0.0852272174332,0.263834803738,,long_short,,7.670893
0,exp_3,DGP,750,40,[],L-BFGS-B_Mxit1000,0.134604993255,0.13224012826,sn_0.215,long_short,,36.497462
0,exp_3,SGP,1000,40,nan,,0.0472945614025,0.0305961596787,,long_short,,7.922272
0,exp_4,DGP,100,50,[],L-BFGS-B_Mxit1000,0.327419828404,0.57452797906,sn_0.138,long_short,True,32.341123
0,exp_3,DGP,500,50,[],L-BFGS-B_Mxit1000,0.0854243499418,-0.0838115571898,sn_0.157,long_short,,51.779384
0,exp_4,SGP,250,50,nan,,0.154441170568,0.375597878661,,long_short,,8.027964
0,exp_3,SGP,750,50,nan,,0.0316829067356,-0.278689574709,,long_short,,5.468406
0,exp_4,DGP,750,40,[],L-BFGS-B_Mxit1000,0.274830825079,0.313871986659,sn_0.247,long_short,,36.266597
0,exp_4,SGP,1000,40,nan,,0.0852867833421,0.219075025357,,long_short,,7.026993
0,exp_3,DGP,1000,40,[],L-BFGS-B_Mxit1000,0.19460488182,0.475353576643,sn_0.325,long_short,True,22.025722
0,exp_3,SGP,1250,40,nan,,0.0431186743576,-0.075796509637,,long_short,,8.949261
0,exp_4,DGP,250,50,[],L-BFGS-B_Mxit1000,0.282705360292,0.204962601262,sn_0.122,long_short,,37.867902
0,exp_4,SGP,500,50,nan,,0.0797134571805,0.300302421794,,long_short,,5.975527
0,exp_4,DGP,1000,40,[],L-BFGS-B_Mxit1000,0.274749113099,0.462017386877,sn_0.274,long_short,True,37.890224
