,exp,model,N_train,M,hidden_size,optimizer,mse,nll,config,init,outlier,time
0,exp_3,DGP,75,40,[2],L-BFGS-B_Mxit1000,0.615650093737,1.27594868147,sn_0.51,default,,13.437854
0,exp_4,DGP,75,40,[2],L-BFGS-B_Mxit1000,0.488280602221,0.941912588616,sn_0.441,default,,41.814342
0,exp_4,DGP,100,40,[2],L-BFGS-B_Mxit1000,0.966774981612,1.40218105479,sn_0.995,default,True,1.710561
0,exp_3,DGP,100,40,[2],L-BFGS-B_Mxit1000,0.389273028184,0.885515674328,sn_0.376,default,,31.413478
0,exp_4,DGP,250,40,[2],L-BFGS-B_Mxit1000,0.175851772314,0.251588998683,sn_0.227,default,,78.495962
0,exp_3,DGP,250,40,[2],L-BFGS-B_Mxit1000,0.209751167682,0.213940671323,sn_0.212,default,,112.148428
0,exp_4,DGP,500,40,[2],L-BFGS-B_Mxit1000,0.146421727572,0.0709371422087,sn_0.194,default,,174.972138
0,exp_4,DGP,750,40,[2],L-BFGS-B_Mxit1000,0.212058138409,0.195322423449,sn_0.177,default,True,98.311104
0,exp_3,DGP,500,40,[2],L-BFGS-B_Mxit1000,0.265887014621,0.772487939335,sn_0.481,default,,39.486644
0,exp_3,DGP,750,40,[2],L-BFGS-B_Mxit1000,0.0396471599005,-0.401354557482,sn_0.136,default,,230.87164
0,exp_3,DGP,1000,40,[2],L-BFGS-B_Mxit1000,0.0856525487849,-0.360020310671,sn_0.135,default,,195.355859
0,exp_3,DGP,1250,40,[2],L-BFGS-B_Mxit1000,0.0929657596605,-0.301592370869,sn_0.138,default,,218.185443
