,exp,model,N_train,M,hidden_size,optimizer,mse,nll,config,init,outlier,time
0,exp_3,DGP,1000,40,[2],L-BFGS-B_Mxit1000,0.0823356519466,-0.00556230050103,sn_0.19,default,True,206.241706
0,exp_3,DGP,1000,40,[2],L-BFGS-B_Mxit1000,0.0763910989834,-0.0534461239715,sn_0.183,default,,960.199496
0,exp_3,DGP,1000,40,[2],L-BFGS-B_Mxit1000,0.0841162414477,0.0160608117156,sn_0.199,default,,2199.671507
0,exp_3,DGP,1000,40,[2],L-BFGS-B_Mxit1000,0.083161867859,-0.00220645474731,sn_0.192,default,,2470.019439
0,exp_3,DGP,1000,40,[2],L-BFGS-B_Mxit1000,0.132432854016,0.137047518827,sn_0.21,default,True,1274.03748
0,exp_3,DGP,1000,40,[2],L-BFGS-B_Mxit1000,0.132432854016,0.137047518827,sn_0.21,default,True,1289.023679
0,exp_3,DGP,1000,40,[2],L-BFGS-B_Mxit1000,0.0942312006191,0.0211428551887,sn_0.195,default,,6586.568168
0,exp_3,DGP,1000,40,[2],adam_lr0.01_MB500_Mxit3000,0.0785825871007,-0.0805652267261,sn_0.175,default,,321.186188
0,exp_3,DGP,1000,40,[2],L-BGFS-B_Mxit3000,0.0577238986944,-0.273055941383,sn_0.143,default,,494.286881
0,exp_3,DGP,1000,20,[2],L-BGFS-B_Mxit3000,0.210483085774,0.696081064578,sn_0.481,default,,4.298002
0,exp_3,DGP,1000,20,[2],L-BGFS-B_Mxit100,0.239653089684,0.669948066727,sn_0.45,default,,5.04237
0,exp_3,DGP,1000,20,[2],L-BGFS-B_Mxit100,0.197156240969,0.571277497161,sn_0.387,default,,5.013548
0,exp_3,DGP,1000,20,[2],L-BGFS-B_Mxit50,0.278079539065,0.800863540762,sn_0.539,default,,2.793429
0,exp_3,DGP,1000,20,[2],L-BGFS-B_Mxit50,0.260167432703,0.794726338889,sn_0.521,default,,2.881728
