,exp,model,N_train,M,hidden_size,optimizer,mse,nll,config,init,outlier,time
0,exp_4,DGP,75,40,[2],L-BFGS-B_Mxit1000,0.966774841124,1.40568289403,sn_1.046,long_short,,4.582714
0,exp_4,DGP,100,40,[2],L-BFGS-B_Mxit1000,0.966774959059,1.40215431103,sn_0.994,long_short,True,5.060961
0,exp_3,DGP,75,40,[2],L-BFGS-B_Mxit1000,0.765948193502,1.29249029834,sn_0.953,long_short,True,3.931226
0,exp_3,DGP,100,40,[2],L-BFGS-B_Mxit1000,0.765948168642,1.28716258688,sn_0.842,long_short,True,5.506349
0,exp_3,DGP,250,40,[2],L-BFGS-B_Mxit1000,0.76594817176,1.28562000206,sn_0.876,long_short,True,6.850318
0,exp_4,DGP,250,40,[2],L-BFGS-B_Mxit1000,0.966764328864,1.41667800476,sn_1.115,long_short,True,5.504066
0,exp_4,DGP,500,40,[2],L-BFGS-B_Mxit1000,0.966771854201,1.40876862833,sn_1.07,long_short,True,6.838293
0,exp_3,DGP,500,40,[2],L-BFGS-B_Mxit1000,0.765948195743,1.28880884108,sn_0.927,long_short,True,6.16285
0,exp_4,DGP,750,40,[2],L-BFGS-B_Mxit1000,0.168980230859,0.11819758654,sn_0.146,long_short,,251.078937
0,exp_3,DGP,750,40,[2],L-BFGS-B_Mxit1000,0.093610958537,-0.315085719858,sn_0.135,long_short,,244.115218
0,exp_4,DGP,1000,40,[2],L-BFGS-B_Mxit1000,0.120973926207,0.0964170652982,sn_0.219,long_short,True,94.398221
0,exp_3,DGP,1000,40,[2],L-BFGS-B_Mxit1000,0.0263985190025,-0.483638112486,sn_0.121,long_short,,257.613219
0,exp_4,DGP,1250,40,[2],L-BFGS-B_Mxit1000,0.132123743937,-0.0730975486107,sn_0.19,long_short,True,200.382788
