,exp,model,N_train,M,hidden_size,optimizer,mse,nll,config,init,outlier,time
0,,DGP,750,50,[2],adam_Mxit2000,0.0712755941768,-0.231930417104,0.155,greedy,,cont.
0,,DGP,1000,50,[2],adam_Mxit1100,0.0321002947086,-0.35555700664,0.145,greedy,,cont.
0,,DGP,500,50,[2],adam_Mxit2000,0.0791102763703,-0.221285650728,0.156,greedy,,cont.
0,,DGP,1250,50,[2],adam_Mxit2000,0.0244608718577,-0.466612658943,0.132,greedy,,cont.
0,,DGP,500,75,[2],adam_Mxit2000,0.121991891089,0.0199052625339,0.2,greedy,,cont.
0,,DGP,750,75,[2],adam_Mxit2000,0.0434646778756,-0.35338723657,0.143,greedy,,cont.
0,,DGP,1000,75,[2],adam_Mxit2000,0.0214307547595,-0.448605005035,0.141,greedy,,cont.
0,,DGP,1250,75,[2],adam_Mxit2000,0.0726179524447,-0.0854909731788,0.198,greedy,,cont.
0,,DGP,1250,75,[2],adam_Mxit2000,0.0347740875611,-0.441806712413,0.137,greedy,,cont.
0,,DGP,500,40,[2],adam_Mxit2000,0.160020631686,0.347332417746,0.254,greedy,,cont.
0,,DGP,750,40,[2],adam_Mxit2000,0.0638377868548,-0.0585936392705,0.198,greedy,,cont.
0,,DGP,1000,40,[2],adam_Mxit2000,0.100716368536,0.0729286260322,0.226,greedy,,cont.
0,,DGP,1250,40,[2],adam_Mxit2000,0.067442337371,-0.00637459840642,0.216,greedy,,cont.
0,,DGP,1000,50,[2],adam_Mxit2000,0.0404852099913,-0.202411236878,0.171,greedy,,cont.
0,,DGP,1250,50,[2],adam_Mxit2000,0.0521548645477,-0.16743388175,0.178,greedy,,cont.
0,,DGP,750,50,[2],adam_Mxit2000,0.0809912007617,-0.0721205287884,0.186,greedy,,cont.
0,,DGP,500,50,[2],adam_Mxit2000,0.107510058632,0.0990713556769,0.218,greedy,,cont.
