,exp,model,N_train,M,hidden_size,optimizer,mse,nll,config,init,outlier,time
0,,GP,750,,nan,,0.00347021318094,-1.42270000374,,,,56.396765
0,,GP,1000,,nan,,0.00266746018283,-1.54239642948,,,,62.729501
0,,SGP,750,50,nan,,0.0318901225685,-0.0429974199834,,,,107.829485
0,,SGP,1000,50,nan,,0.040721819372,-0.0544066694911,,,,89.420005
0,,DGP,750,50,[2],adam_Mxit1200,0.0620574863613,-0.308493395865,0.151,greedy,,4537.008356
0,,DGP,1250,50,[2],adam_Mxit1200,0.0915415438674,-0.136324203764,0.17,greedy,,3394.296746
0,,DGP,1000,50,[2],adam_Mxit1200,0.0785601201949,-0.162628060737,0.174,greedy,,4195.345194
0,,DGP,1000,50,[2],adam_Mxit2000,0.0841714744398,-0.245054398141,0.146,greedy,,7992.040553
0,,DGP,750,50,[2],adam_Mxit2000,0.0584027688879,-0.318071268037,0.151,greedy,,6238.12848
0,,DGP,1250,50,[2],adam_Mxit2000,0.018193631387,-0.50913480127,0.131,greedy,,8763.092075
